isi,prime,target,condition,meanRT
50,kangaroo,australia,strong,782.7
1050,kangaroo,australia,strong,798.4
50,under,australia,weak,956.8
1050,under,australia,weak,727.9
50,abduct,australia,unrel_strong,733.2
1050,abduct,australia,unrel_strong,815.0
50,starch,australia,unrel_weak,815.0
1050,starch,australia,unrel_weak,820.7
50,car,auto,strong,667.5
1050,car,auto,strong,798.9
50,motor,auto,weak,617.2
1050,motor,auto,weak,738.0
50,inferior,auto,unrel_strong,681.0
1050,inferior,auto,unrel_strong,747.6
50,cheap,auto,unrel_weak,601.8
1050,cheap,auto,unrel_weak,707.7
50,norm,average,strong,757.4
1050,norm,average,strong,619.0
50,estimate,average,weak,694.3
1050,estimate,average,weak,655.4
50,mars,average,unrel_strong,685.0
1050,mars,average,unrel_strong,704.7
50,image,average,unrel_weak,757.5
1050,image,average,unrel_weak,640.1
50,asleep,awake,strong,593.9
1050,asleep,awake,strong,770.3
50,conscience,awake,weak,665.2
1050,conscience,awake,weak,603.4
50,detail,awake,unrel_strong,667.4
1050,detail,awake,unrel_strong,633.8
50,antelope,awake,unrel_weak,661.1
1050,antelope,awake,unrel_weak,621.0
50,merit,award,strong,625.7
1050,merit,award,strong,649.6
50,medal,award,weak,586.5
1050,medal,award,weak,628.7
50,container,award,unrel_strong,656.1
1050,container,award,unrel_strong,824.9
50,canvas,award,unrel_weak,634.9
1050,canvas,award,unrel_weak,633.1
50,unaware,aware,strong,673.9
1050,unaware,aware,strong,639.2
50,conscious,aware,weak,608.7
1050,conscious,aware,weak,689.7
50,plaything,aware,unrel_strong,609.2
1050,plaything,aware,unrel_strong,648.0
50,asteroid,aware,unrel_weak,802.7
1050,asteroid,aware,unrel_weak,691.0
50,further,away,strong,651.4
1050,further,away,strong,640.6
50,put,away,weak,585.9
1050,put,away,weak,757.7
50,language,away,unrel_strong,657.7
1050,language,away,unrel_strong,715.7
50,overview,away,unrel_weak,570.2
1050,overview,away,unrel_weak,731.0
50,hatchet,ax,strong,786.6
1050,hatchet,ax,strong,803.2
50,chop,ax,weak,711.0
1050,chop,ax,weak,746.8
50,admission,ax,unrel_strong,771.6
1050,admission,ax,unrel_strong,776.5
50,often,ax,unrel_weak,859.4
1050,often,ax,unrel_weak,823.6
50,child,baby,strong,563.6
1050,child,baby,strong,641.5
50,kidnap,baby,weak,565.5
1050,kidnap,baby,weak,663.9
50,where,baby,unrel_strong,637.5
1050,where,baby,unrel_strong,642.5
50,inside,baby,unrel_weak,569.5
1050,inside,baby,unrel_weak,667.7
50,retreat,back,strong,714.6
1050,retreat,back,strong,591.5
50,strain,back,weak,613.8
1050,strain,back,weak,648.5
