isi,prime,target,condition,meanRT
1050,hug,arms,weak,513.3
50,tractor,arms,unrel_strong,473.1
1050,tractor,arms,unrel_strong,504.3
50,darkness,arms,unrel_weak,461.2
1050,darkness,arms,unrel_weak,525.4
50,corporal,army,strong,564.3
1050,corporal,army,strong,530.3
50,fort,army,weak,532.5
1050,fort,army,weak,486.8
50,caution,army,unrel_strong,498.1
1050,caution,army,unrel_strong,494.1
50,bell,army,unrel_weak,497.9
1050,bell,army,unrel_weak,505.7
50,surrounding,around,strong,538.2
1050,surrounding,around,strong,553.3
50,wrap,around,weak,543.5
1050,wrap,around,weak,427.2
50,infection,around,unrel_strong,525.5
1050,infection,around,unrel_strong,485.2
50,faucet,around,unrel_weak,510.4
1050,faucet,around,unrel_weak,540.9
50,cocky,arrogant,strong,541.6
1050,cocky,arrogant,strong,526.5
50,proud,arrogant,weak,647.5
1050,proud,arrogant,weak,574.5
50,agenda,arrogant,unrel_strong,575.7
1050,agenda,arrogant,unrel_strong,588.7
50,cook,arrogant,unrel_weak,549.7
1050,cook,arrogant,unrel_weak,573.3
50,bow,arrow,strong,498.1
1050,bow,arrow,strong,502.1
50,directions,arrow,weak,543.6
1050,directions,arrow,weak,531.8
50,beard,arrow,unrel_strong,581.3
1050,beard,arrow,unrel_strong,530.9
50,parade,arrow,unrel_weak,570.2
1050,parade,arrow,unrel_weak,532.6
50,sculpture,art,strong,496.2
1050,sculpture,art,strong,478.6
50,impression,art,weak,512.2
1050,impression,art,weak,475.9
50,mob,art,unrel_strong,488.7
1050,mob,art,unrel_strong,486.9
50,medieval,art,unrel_weak,508.6
1050,medieval,art,unrel_weak,516.6
50,con,artist,strong,535.9
1050,con,artist,strong,441.4
50,famous,artist,weak,516.4
1050,famous,artist,weak,520.9
50,stain,artist,unrel_strong,510.6
1050,stain,artist,unrel_strong,551.0
50,wealth,artist,unrel_weak,521.1
1050,wealth,artist,unrel_weak,523.9
50,ash,ashtray,strong,533.8
1050,ash,ashtray,strong,616.2
50,ashes,ashtray,weak,527.8
1050,ashes,ashtray,weak,544.4
50,blend,ashtray,unrel_strong,594.2
1050,blend,ashtray,unrel_strong,575.6
50,storm,ashtray,unrel_weak,653.1
1050,storm,ashtray,unrel_weak,636.3
50,europe,asia,strong,583.6
1050,europe,asia,strong,563.6
50,orient,asia,weak,593.2
1050,orient,asia,weak,530.1
50,quarter,asia,unrel_strong,623.9
1050,quarter,asia,unrel_strong,589.9
50,endless,asia,unrel_weak,549.1
1050,endless,asia,unrel_weak,514.0
50,inquire,ask,strong,574.9
1050,inquire,ask,strong,483.6
50,pray,ask,weak,489.4
1050,pray,ask,weak,490.0
50,parcel,ask,unrel_strong,461.7
1050,parcel,ask,unrel_strong,492.7
50,ad,ask,unrel_weak,555.6
1050,ad,ask,unrel_weak,497.3
50,unconscious,asleep,strong,583.4
1050,unconscious,asleep,strong,500.1
50,tired,asleep,weak,551.6
1050,tired,asleep,weak,490.7
50,lettuce,asleep,unrel_strong,515.3
1050,lettuce,asleep,unrel_strong,478.6
50,procedure,asleep,unrel_weak,493.8
1050,procedure,asleep,unrel_weak,542.8
50,donkey,ass,strong,522.0
1050,donkey,ass,strong,475.5
50,wipe,ass,weak,504.6
